recipe_config_id,pipeline_recipe_id,feature_recipe_id,prescreen_recipe_id,prescreen_name,prescreen_methods,rank_aggregation,feature_size,model_spec_id,base_model_family,model_kind,model_params,inner_selection_rank,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,selection_artifact,outer_fold,selected_features_text,selected_feature_count,status,error,duration_seconds,outer_business_score,outer_optimal_k,outer_tp_at_optimal_k,outer_fp_at_optimal_k,outer_gross_score,feature_penalty,outer_f1_score,outer_roc_auc_score,outer_n_predictions,outer_selected_rate,outer_threshold
ps_mean_0032__k_005__extra_trees_small_deep02,ps_mean_0032__k_005__extra_trees_small_deep02,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1,4985.0,999.0,0.4897959183673469,0.6824120603015076,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.4733344609849155,1530.0,982,496,486,2530.0,1000.0,0.6707234617985126,0.6543635570880552,1000,0.982,0.4571504034768742
ps_mean_0032__k_005__extra_trees_small_deep03,ps_mean_0032__k_005__extra_trees_small_deep03,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5,4950.0,1000.0,0.4882943143812709,0.6835658391459787,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.7147466860187706,1530.0,985,497,488,2530.0,1000.0,0.6707152496626181,0.6558476105139786,1000,0.985,0.4478969221241836
ps_mean_0032__k_005__extra_trees_small_deep05,ps_mean_0032__k_005__extra_trees_small_deep05,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep05,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 24, ""n_estimators"": 500}",9,4935.0,1000.0,0.4876254180602007,0.6823578089452237,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.6567700759915169,1515.0,979,494,485,2515.0,1000.0,0.6693766937669375,0.6563436283706213,1000,0.979,0.4384611388036682
ps_mean_0052__k_006__xgboost_classifier_deep04,ps_mean_0052__k_006__xgboost_classifier_deep04,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,xgboost_classifier_deep04,xgboost_classifier,classifier,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 300, ""scale_pos_weight_multiplier"": 1.2}",6,4950.0,996.0,0.496823804747576,0.6884111903266041,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_264,var_341",6,ok,,0.3417819869937375,1495.0,832,457,375,2695.0,1200.0,0.6883116883116884,0.6947450108203895,1000,0.832,0.3549691140651703
ps_mean_0052__k_006__extra_trees_small_deep01,ps_mean_0052__k_006__extra_trees_small_deep01,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",4,4960.0,1000.0,0.4974924774322968,0.6785812412701357,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_264,var_341",6,ok,,0.4776385959994513,1430.0,722,416,306,2630.0,1200.0,0.6825266611977031,0.6956130420695146,1000,0.722,0.485340742596559
ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",10,4932.0,996.6,0.4962859577031569,0.6937976732458543,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_341,var_379",6,ok,,0.4936231269966811,1395.0,888,469,419,2595.0,1200.0,0.6772563176895307,0.6905248588949201,1000,0.888,0.4667771932634912
ps_mean_0005__k_006__extra_trees_small_deep02,ps_mean_0005__k_006__extra_trees_small_deep02,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",12,4930.0,998.2,0.4961539244265684,0.6924628436255523,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_341,var_379",6,ok,,0.391109977994347,1375.0,892,469,423,2575.0,1200.0,0.6753059755219583,0.6910128764635527,1000,0.892,0.4718625448771543
ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",8,4940.0,999.5,0.4966972824267853,0.6936157007692544,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379,var_482",6,ok,,0.5657032739836723,1350.0,927,479,448,2550.0,1200.0,0.6727528089887641,0.6759763351480652,1000,0.927,0.4580693389814636
ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",2,4972.5,999.0,0.4981182675758351,0.6912097692945731,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379,var_482",6,ok,,0.3640717570087872,1345.0,916,475,441,2545.0,1200.0,0.6723283793347489,0.6689280814109307,1000,0.916,0.4742063572248406
ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",3,4966.25,999.5,0.497867375471489,0.6938303312620817,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379,var_482",6,ok,,0.3967664949886966,1340.0,974,494,480,2540.0,1200.0,0.671651937457512,0.669976119140289,1000,0.974,0.4600964944835408
