recipe_config_id,pipeline_recipe_id,feature_recipe_id,prescreen_recipe_id,prescreen_name,prescreen_methods,rank_aggregation,feature_size,model_spec_id,base_model_family,model_kind,model_params,inner_selection_rank,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,selection_artifact,outer_fold,selected_features_text,selected_feature_count,status,error,duration_seconds,outer_business_score,outer_optimal_k,outer_tp_at_optimal_k,outer_fp_at_optimal_k,outer_gross_score,feature_penalty,outer_f1_score,outer_roc_auc_score,outer_n_predictions,outer_selected_rate,outer_threshold,outer_scoring_strategy,outer_max_targets,outer_gross_score_scale,outer_business_score_unscaled_rate_fold,outer_gross_score_unscaled_rate_fold
ps_mean_0032__k_005__extra_trees_small_deep02,ps_mean_0032__k_005__extra_trees_small_deep02,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1,4985.0,999.0,0.4897959183673469,0.6824120603015076,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.4733344609849155,4925.0,198,145,53,5925.0,1000.0,0.41726618705035967,0.6543635570880552,1000,0.198,0.5249590041872048,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,185.0,1185.0
ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",2,4972.5,999.0,0.4981182675758351,0.6912097692945731,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379,var_482",6,ok,,0.3640717570087872,5075.0,199,150,49,6275.0,1200.0,0.4310344827586207,0.6689280814109307,1000,0.199,0.5169139202429835,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,55.0,1255.0
ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",3,4966.25,999.5,0.497867375471489,0.6938303312620817,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379,var_482",6,ok,,0.3967664949886966,4975.0,200,149,51,6175.0,1200.0,0.42754662840746055,0.669976119140289,1000,0.2,0.5210949085861436,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,35.0,1235.0
ps_mean_0052__k_006__extra_trees_small_deep01,ps_mean_0052__k_006__extra_trees_small_deep01,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",4,4960.0,1000.0,0.4974924774322968,0.6785812412701357,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_264,var_341",6,ok,,0.4776385959994513,5300.0,193,151,42,6500.0,1200.0,0.4396551724137931,0.6956130420695146,1000,0.193,0.5164186596824586,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,100.0,1300.0
ps_mean_0032__k_005__extra_trees_small_deep03,ps_mean_0032__k_005__extra_trees_small_deep03,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5,4950.0,1000.0,0.4882943143812709,0.6835658391459787,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.7147466860187706,5100.0,200,148,52,6100.0,1000.0,0.42467718794835013,0.6558476105139786,1000,0.2,0.5300608372877282,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,220.0,1220.0
ps_mean_0052__k_006__xgboost_classifier_deep04,ps_mean_0052__k_006__xgboost_classifier_deep04,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,xgboost_classifier_deep04,xgboost_classifier,classifier,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 300, ""scale_pos_weight_multiplier"": 1.2}",6,4950.0,996.0,0.496823804747576,0.6884111903266041,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_264,var_341",6,ok,,0.3417819869937375,4700.0,199,145,54,5900.0,1200.0,0.41666666666666663,0.6947450108203895,1000,0.199,0.7019007205963135,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,-20.0,1180.0
ps_mean_0007__k_006__extra_trees_small_deep03,ps_mean_0007__k_006__extra_trees_small_deep03,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",7,4943.75,996.5,0.4968225465218888,0.6946439744846193,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379,var_482",6,ok,,0.4928024859982542,5525.0,199,156,43,6725.0,1200.0,0.4482758620689655,0.675016300586821,1000,0.199,0.525989115033547,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,145.0,1345.0
ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",8,4940.0,999.5,0.4966972824267853,0.6936157007692544,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379,var_482",6,ok,,0.5657032739836723,5350.0,200,154,46,6550.0,1200.0,0.44189383070301286,0.6759763351480652,1000,0.2,0.5225283723797916,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,110.0,1310.0
ps_mean_0032__k_005__extra_trees_small_deep05,ps_mean_0032__k_005__extra_trees_small_deep05,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep05,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 24, ""n_estimators"": 500}",9,4935.0,1000.0,0.4876254180602007,0.6823578089452237,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.6567700759915169,5025.0,200,147,53,6025.0,1000.0,0.4218077474892396,0.6563436283706213,1000,0.2,0.5361725741710941,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,205.0,1205.0
ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",10,4932.0,996.6,0.4962859577031569,0.6937976732458543,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_341,var_379",6,ok,,0.4936231269966811,5275.0,194,151,43,6475.0,1200.0,0.43902439024390244,0.6905248588949201,1000,0.194,0.5273977798681884,rate_matched_test_top1000_contact_rate_scaled_gross,200,5.0,95.0,1295.0
